update,mean_fitness,count
0,0,500
10,0.705521,978
20,0.865422,1553
30,0.936191,2053
40,0.924115,2741
50,0.963866,3404
60,0.961322,4266
70,0.958507,5037
80,0.991866,6024
90,1.00387,6974
100,1.00772,8026
110,1.01968,9097
120,1.01057,10308
130,1.0215,11491
140,1.03899,12747
150,1.05095,14052
160,1.03038,15406
170,1.05671,16751
180,1.05485,18139
190,1.03081,19607
200,1.02857,21175
210,1.04943,22741
220,1.0416,24350
230,1.04633,26011
240,1.03221,27756
250,1.03897,29635
260,1.05272,31579
270,1.04674,33633
280,1.05911,35766
290,1.04023,38008
300,1.0486,40285
310,1.03932,42653
320,1.04481,45239
330,1.03676,47855
340,1.02256,50534
350,1.03613,53356
360,1.02675,56224
370,1.03815,59189
380,1.03151,62180
390,1.03581,65348
