update,mean_fitness,count
0,0,50
10,0.691667,120
20,0.838384,297
30,0.941176,527
40,0.978912,901
50,0.94387,1354
60,0.956544,1956
70,0.977861,2665
80,0.994679,3759
90,0.986787,4995
100,0.996926,6506
110,1.00751,8259
120,1.01442,10263
130,1.03192,12624
140,1.02852,15322
150,1.02262,18391
160,1.02903,21773
170,1.04033,25338
180,1.0359,29609
190,1.04185,34454
200,1.04153,39558
210,1.05052,44909
220,1.06074,50638
230,1.05556,56784
240,1.06115,63349
250,1.07301,69993
260,1.07303,77091
270,1.07255,84621
280,1.06769,92608
290,1.08101,100819
300,1.07524,109721
310,1.08442,118823
320,1.08485,128001
330,1.08408,137776
340,1.09409,147929
350,1.08854,158151
360,1.09094,168792
370,1.088,179923
380,1.09639,191520
390,1.09336,203531
