update,mean_fitness,count
0,0,100
10,0.731915,235
20,0.931818,528
30,0.953362,922
40,0.973238,1532
50,0.957205,2290
60,1.00212,3300
70,0.996788,4670
80,0.981565,6401
90,0.984809,8492
100,0.980516,10881
110,0.995101,13677
120,1.01284,16749
130,1.02415,20209
140,1.02589,23873
150,1.03172,27802
160,1.03748,32095
170,1.04163,36704
180,1.05209,41751
190,1.06056,47043
200,1.05982,52626
210,1.06083,58684
220,1.06094,65361
230,1.06595,72375
240,1.06928,79779
250,1.0703,87258
260,1.07407,94925
270,1.0728,103273
280,1.07202,112061
290,1.07572,121190
300,1.07733,130558
310,1.08508,140051
320,1.08668,150391
330,1.08195,160916
340,1.0877,171644
350,1.09258,182910
360,1.09278,194286
370,1.09126,206041
380,1.09657,218434
390,1.09809,231197
