update,mean_fitness,count
0,0,1000
10,0.729549,2237
20,0.916441,4799
30,0.9509,8004
40,0.961118,12911
50,0.97023,19147
60,0.972103,26777
70,0.98108,35624
80,0.976715,45737
90,0.99162,56924
100,0.993353,68601
110,1.00545,81114
120,1.01165,93785
130,1.02366,106557
140,1.03592,119783
150,1.03456,132965
160,1.03573,146334
170,1.045,160238
180,1.04962,173785
190,1.05795,187485
200,1.05707,201435
210,1.06553,215852
220,1.07016,230367
230,1.07009,244732
240,1.07856,258860
250,1.07878,273364
260,1.07904,288290
270,1.08257,303113
280,1.08834,317836
290,1.08991,332736
300,1.09263,347514
310,1.09519,362601
320,1.09805,377833
330,1.10026,392993
340,1.1017,408381
350,1.10113,423380
360,1.10725,438697
370,1.10507,453957
380,1.10764,468998
390,1.10941,484001
