update,mean_fitness,count
0,0,1000
10,0.682432,1924
20,0.862829,3040
30,0.92056,4003
40,0.948812,5431
50,0.965014,6717
60,0.966041,8363
70,0.984799,9868
80,0.993457,11616
90,0.998354,13364
100,0.994705,15298
110,1.00827,17300
120,1.02605,19465
130,1.03248,21641
140,1.01487,24016
150,1.03802,26304
160,1.02604,28726
170,1.02252,31170
180,1.03912,33739
190,1.03106,36316
200,1.04345,39056
210,1.03795,41902
220,1.03745,44830
230,1.03615,47658
240,1.04357,50765
250,1.04626,53853
260,1.03309,57214
270,1.05018,60643
280,1.05,64222
290,1.03833,67940
300,1.04483,71754
310,1.03771,76001
320,1.04037,80292
330,1.04765,84656
340,1.0368,89235
350,1.03657,94137
360,1.03878,99281
370,1.03158,104549
380,1.03582,110202
390,1.029,115850
