update,mean_fitness,count
0,0,100
10,0.643979,191
20,0.895385,325
30,0.938914,442
40,0.978114,594
50,1.0393,738
60,0.948465,912
70,0.978042,1093
80,0.963855,1328
90,0.986692,1578
100,0.9645,1831
110,1.01049,2097
120,1.02735,2377
130,1.04045,2670
140,1.01418,2961
150,1.04388,3259
160,1.05162,3584
170,1.0155,3935
180,1.04646,4305
190,1.02024,4743
200,1.03707,5152
210,1.05951,5562
220,1.0299,6021
230,1.00184,6515
240,1.0336,6995
250,1.03701,7538
260,1.05631,8098
270,1.03736,8699
280,1.03981,9319
290,1.05021,9998
300,1.04003,10691
310,1.03568,11462
320,1.01197,12276
330,1.02436,13136
340,1.02716,14138
350,1.01899,15111
360,1.00816,16178
370,1.03149,17306
380,1.02735,18390
390,1.02011,19639
