update,mean_fitness,count
0,0,1000
10,0.70897,1962
20,0.894221,3063
30,0.931363,4196
40,0.986528,5567
50,1.01465,7029
60,1.00808,8668
70,1.01492,10389
80,1.01876,12208
90,1.00253,14214
100,1.01852,16252
110,1.03182,18382
120,1.01933,20482
130,1.01862,22669
140,1.02826,24809
150,1.04227,26995
160,1.02663,29181
170,1.04192,31419
180,1.03079,33707
190,1.03567,36022
200,1.0365,38379
210,1.03919,40671
220,1.03869,43004
230,1.043,45299
240,1.03903,47636
250,1.03076,49877
260,1.03665,52116
270,1.04326,54302
280,1.0347,56655
290,1.03554,58999
300,1.03159,61380
310,1.0351,63765
320,1.03734,66042
330,1.03863,68363
340,1.04012,70690
350,1.03168,73081
360,1.02574,75517
370,1.03875,77906
380,1.0412,80185
390,1.03296,82521
