update,mean_fitness,count
0,25,100
10,20.4872,195
20,13.8509,322
30,17.7002,437
40,17.1043,575
50,19.6594,734
60,20.2553,901
70,19.2011,1089
80,17.6699,1324
90,18.816,1571
100,18.9645,1801
110,18.5036,2055
120,18.8772,2289
130,18.6856,2583
140,17.9644,2864
150,17.2067,3188
160,17.4726,3472
170,17.6409,3779
180,16.8347,4096
190,17.4775,4440
200,18.0726,4781
210,18.316,5089
220,17.5973,5448
230,17.2269,5831
240,17.6953,6209
250,17.6502,6609
260,17.3482,7033
270,17.4006,7444
280,16.9255,7863
290,16.9333,8294
300,17.0322,8737
310,17.5085,9161
320,17.2713,9541
330,17.632,9962
340,17.6595,10395
350,17.282,10824
360,17.2291,11314
370,17.1105,11772
380,17.3671,12243
390,17.3032,12728
